word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
amiable,7,4,2,2.887113,-99,17.2949,0.588235,0,1,-99,-99,-99,-99,-99,-99,-99,4.69,2.41,4.06,2.67,4.56,2.15,2.55,5.4,5.41,3.91,-99,-99,-99
anguished,9,2,2,1.938062,-99,-99,0.254902,0,1,-99,-99,-99,-99,-99,-99,-99,2.03,5.53,4.77,4.09,3.87,4.04,5.67,1.86,1.41,4.27,-99,-99,-99
antisocial,10,4,2,0.519481,-99,-99,0.803922,0,1,-99,-99,-99,-99,-99,-99,-99,1.42,5.04,5.83,4.1,6.7,3.39,4.29,1.3,1.11,4.41,-99,-99,-99
appreciative,12,4,2,1.778222,1.334986,2.20172,0.803922,0,1,-99,-99,-99,-99,-99,-99,-99,6.43,2.43,4.62,5.94,6.02,4,4.55,6.13,5.53,4.34,-99,-99,-99
arrogant,8,3,2,6.413586,7.804531,4.19696,5.215686,0,1,-99,-99,-99,-99,-99,-99,-99,1.38,5.17,5.53,4.89,5.72,4.3,4.83,1.49,1.34,5.48,-99,-99,-99
astronaut,9,3,2,0.959041,1.951133,-99,3.960784,1,0,5.03,2.62,6.25,5.9,6.25,3.65,2.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.761905,0.026316,2.650375
bashful,7,2,2,0.46953,-99,2.47862,1.235294,0,1,-99,-99,-99,-99,-99,-99,-99,3.04,3.32,6.09,4.93,6.32,2.83,4.68,3.44,2.06,2.31,-99,-99,-99
beggar,6,2,2,2.417582,-99,10.5917,2.470588,1,0,2.55,4.85,6.15,5.65,6.4,3.3,4.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.71875,0.057143,2.158352
benevolent,10,4,2,3.576424,-99,8.37495,0.72549,0,1,-99,-99,-99,-99,-99,-99,-99,4.21,2.92,4.04,2.92,5,3.22,3.77,3.99,4.23,4.42,-99,-99,-99
blackmail,9,2,2,4.315684,12.391404,-99,7.72549,1,0,1.82,5.39,4.55,3.85,6.03,3.75,4.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.911765,0,3.67805
blob,4,1,2,1.878122,-99,-99,1.176471,1,0,3.59,2.55,5.66,3.77,5.55,2.07,1.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.6,0,2.579695
bodice,6,2,2,1.518482,-99,1.54508,0.215686,1,0,3.48,3.62,3.5,4.48,4.09,2.06,2.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.6,0,2.579695
bookcase,8,2,2,1.548452,-99,1.64951,0.941176,1,0,4.4,3.2,6.24,5.68,6.64,3.6,1.92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.689655,0.096774,1.795027
butterfly,9,3,2,6.443556,3.012275,4.96041,5.509804,1,0,5.1,2,6.53,6.26,6.4,3.13,2.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.88,0.076923,2.601064
